Nuclear,200,869,116,2,"12,013",0,ND,0,ND,"13,200"
Total,"16,716","94,814","33,050","27,097","54,271","27,419",ND,"32,271","57,000","285,638"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"29,979","3,287","25,055","9,504","1,026",ND,ND,ND,"68,851"
Purchased from Supplier(s),"16,716","64,835","29,763","2,042","44,767","26,393",ND,ND,ND,"184,516"
Total,"16,716","94,814","33,050","27,097","54,271","27,419",ND,ND,"89,000","253,367"

1996,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),ND,ND,ND,ND,ND,ND,ND,ND,-,"20,859,000"
Reporting Production (tonnes),"1,017,296","5,862,513","2,104,752","1,554,260","3,405,578","1,654,934",0,"1,770,900","3,488,767","17,370,233"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"6,288","64,268","32,026","4,893","22,824","6,794",ND,"2,845",ND,"139,938"
Coal,"9,214","28,473",0,"7,865","11,430","17,966",ND,"25,605",ND,"100,553"
Oil,0,0,0,71,"1,730",0,ND,0,ND,"1,801"
Natural Gas,0,76,860,"11,760","3,145",446,ND,0,ND,"16,287"
Nuclear,0,887,113,1,"13,452",0,ND,0,ND,"14,453"
Total,"15,502","93,704","32,999","24,590","52,581","25,206",ND,"28,450","55,000","273,032"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"29,669","3,337","22,572","9,138",868,ND,ND,ND,"65,584"
Purchased from Supplier(s),"15,502","64,035","29,662","2,018","43,443","24,338",ND,ND,ND,"178,998"
Total,"15,502","93,704","32,999","24,590","52,581","25,206",ND,ND,"83,500","244,582"

1995,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),ND,ND,ND,ND,ND,ND,ND,ND,-,"19,610,000"
Reporting Production (tonnes),"630,081","5,553,499","2,056,572","1,632,202","3,155,883","1,565,210",0,"1,583,000","3,433,553","16,176,447"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"6,221","61,032","31,726","5,280","21,950","6,209",ND,"2,628",ND,"135,046"
Coal,"3,745","27,362",0,"7,740","10,144","17,203",ND,"23,650",ND,"89,844"
Oil,0,0,0,"1,185","2,697",0,ND,0,ND,"3,882"
Natural Gas,0,80,309,"12,095","2,288",439,ND,0,ND,"15,211"
Nuclear,0,649,61,2,"12,162",0,ND,0,ND,"12,874"
Total,"9,966","89,123","32,096","26,302","49,241","23,851",ND,"26,278","54,500","256,857"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"28,269","2,785","22,079","4,737",900,ND,ND,ND,"58,770"
Purchased from Supplier(s),"9,966","60,854","29,311","4,223","44,504","22,951",ND,ND,ND,"171,809"
